comuna_residencia,region_residencia,semana_epi,Acumulado
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,12,1
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,20,2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,22,5
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,23,6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,24,8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,25,10
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,26,14
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,27,18
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,28,28
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,29,37
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,30,43
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,31,47
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,32,65
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,33,68
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,34,71
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,36,73
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,37,75
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,38,78
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,39,87
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,40,95
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,41,97
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,42,102
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,43,108
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,44,116
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,45,119
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,46,132
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,47,144
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,48,153
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,49,157
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,50,161
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,51,169
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,52,176
Algarrobo,Región de Valparaíso,12,1
Algarrobo,Región de Valparaíso,13,9
Algarrobo,Región de Valparaíso,15,10
Algarrobo,Región de Valparaíso,17,11
Algarrobo,Región de Valparaíso,18,13
Algarrobo,Región de Valparaíso,19,20
Algarrobo,Región de Valparaíso,20,33
Algarrobo,Región de Valparaíso,21,43
Algarrobo,Región de Valparaíso,22,47
Algarrobo,Región de Valparaíso,23,66
Algarrobo,Región de Valparaíso,24,80
Algarrobo,Región de Valparaíso,25,86
Algarrobo,Región de Valparaíso,26,94
Algarrobo,Región de Valparaíso,27,95
Algarrobo,Región de Valparaíso,28,99
Algarrobo,Región de Valparaíso,29,103
Algarrobo,Región de Valparaíso,32,104
Algarrobo,Región de Valparaíso,33,106
Algarrobo,Región de Valparaíso,34,113
Algarrobo,Región de Valparaíso,35,126
Algarrobo,Región de Valparaíso,36,133
Algarrobo,Región de Valparaíso,37,137
Algarrobo,Región de Valparaíso,38,144
Algarrobo,Región de Valparaíso,39,146
Algarrobo,Región de Valparaíso,40,158
Algarrobo,Región de Valparaíso,41,162
Algarrobo,Región de Valparaíso,42,163
Algarrobo,Región de Valparaíso,43,177
Algarrobo,Región de Valparaíso,44,188
Algarrobo,Región de Valparaíso,45,191
Algarrobo,Región de Valparaíso,46,193
Algarrobo,Región de Valparaíso,47,197
Algarrobo,Región de Valparaíso,48,213
Algarrobo,Región de Valparaíso,49,220
Algarrobo,Región de Valparaíso,50,224
Algarrobo,Región de Valparaíso,51,229
Algarrobo,Región de Valparaíso,52,232
Alto Biobío,Región del Biobío,21,17
Alto Biobío,Región del Biobío,22,89
Alto Biobío,Región del Biobío,23,123
Alto Biobío,Región del Biobío,24,134
Alto Biobío,Región del Biobío,25,149
Alto Biobío,Región del Biobío,26,153
Alto Biobío,Región del Biobío,27,160
Alto Biobío,Región del Biobío,28,168
Alto Biobío,Región del Biobío,29,171
Alto Biobío,Región del Biobío,30,174
Alto Biobío,Región del Biobío,31,175
Alto Biobío,Región del Biobío,32,178
Alto Biobío,Región del Biobío,34,179
Alto Biobío,Región del Biobío,35,180
Alto Biobío,Región del Biobío,36,181
Alto Biobío,Región del Biobío,37,183
Alto Biobío,Región del Biobío,38,185
Alto Biobío,Región del Biobío,40,187
Alto Biobío,Región del Biobío,43,188
Alto Biobío,Región del Biobío,44,189
Alto Biobío,Región del Biobío,45,190
Alto Biobío,Región del Biobío,49,194
Alto Biobío,Región del Biobío,50,223
Alto Biobío,Región del Biobío,51,256
Alto Biobío,Región del Biobío,52,260
Alto del Carmen,Región de Atacama,23,4
Alto del Carmen,Región de Atacama,24,6
Alto del Carmen,Región de Atacama,25,7
Alto del Carmen,Región de Atacama,27,8
Alto del Carmen,Región de Atacama,28,11
Alto del Carmen,Región de Atacama,29,12
Alto del Carmen,Región de Atacama,32,17
Alto del Carmen,Región de Atacama,33,32
Alto del Carmen,Región de Atacama,34,36
Alto del Carmen,Región de Atacama,35,37
Alto del Carmen,Región de Atacama,37,39
Alto del Carmen,Región de Atacama,38,40
Alto del Carmen,Región de Atacama,39,43
Alto del Carmen,Región de Atacama,40,44
Alto del Carmen,Región de Atacama,48,46
Alto del Carmen,Región de Atacama,49,48
Alto Hospicio,Región de Tarapacá,13,3
Alto Hospicio,Región de Tarapacá,14,10
Alto Hospicio,Región de Tarapacá,15,17
Alto Hospicio,Región de Tarapacá,16,35
Alto Hospicio,Región de Tarapacá,17,61
Alto Hospicio,Región de Tarapacá,18,147
Alto Hospicio,Región de Tarapacá,19,258
Alto Hospicio,Región de Tarapacá,20,478
Alto Hospicio,Región de Tarapacá,21,772
Alto Hospicio,Región de Tarapacá,22,1123
Alto Hospicio,Región de Tarapacá,23,1428
Alto Hospicio,Región de Tarapacá,24,1653
Alto Hospicio,Región de Tarapacá,25,1836
Alto Hospicio,Región de Tarapacá,26,2015
Alto Hospicio,Región de Tarapacá,27,2136
Alto Hospicio,Región de Tarapacá,28,2250
Alto Hospicio,Región de Tarapacá,29,2365
Alto Hospicio,Región de Tarapacá,30,2499
Alto Hospicio,Región de Tarapacá,31,2647
Alto Hospicio,Región de Tarapacá,32,2799
Alto Hospicio,Región de Tarapacá,33,2974
Alto Hospicio,Región de Tarapacá,34,3099
Alto Hospicio,Región de Tarapacá,35,3208
Alto Hospicio,Región de Tarapacá,36,3299
Alto Hospicio,Región de Tarapacá,37,3384
Alto Hospicio,Región de Tarapacá,38,3441
Alto Hospicio,Región de Tarapacá,39,3508
Alto Hospicio,Región de Tarapacá,40,3576
Alto Hospicio,Región de Tarapacá,41,3633
Alto Hospicio,Región de Tarapacá,42,3697
Alto Hospicio,Región de Tarapacá,43,3775
Alto Hospicio,Región de Tarapacá,44,3834
Alto Hospicio,Región de Tarapacá,45,3910
Alto Hospicio,Región de Tarapacá,46,3979
Alto Hospicio,Región de Tarapacá,47,4023
Alto Hospicio,Región de Tarapacá,48,4087
Alto Hospicio,Región de Tarapacá,49,4170
Alto Hospicio,Región de Tarapacá,50,4281
Alto Hospicio,Región de Tarapacá,51,4453
Alto Hospicio,Región de Tarapacá,52,4591
Ancud,Región de Los Lagos,13,1
Ancud,Región de Los Lagos,15,4
Ancud,Región de Los Lagos,16,9
Ancud,Región de Los Lagos,17,10
Ancud,Región de Los Lagos,18,15
Ancud,Región de Los Lagos,19,51
Ancud,Región de Los Lagos,20,72
Ancud,Región de Los Lagos,21,86
Ancud,Región de Los Lagos,22,87
Ancud,Región de Los Lagos,23,90
Ancud,Región de Los Lagos,24,96
Ancud,Región de Los Lagos,25,97
Ancud,Región de Los Lagos,26,101
Ancud,Región de Los Lagos,27,102
Ancud,Región de Los Lagos,28,103
Ancud,Región de Los Lagos,29,108
Ancud,Región de Los Lagos,30,112
Ancud,Región de Los Lagos,31,113
Ancud,Región de Los Lagos,32,114
Ancud,Región de Los Lagos,35,115
Ancud,Región de Los Lagos,36,116
Ancud,Región de Los Lagos,37,117
Ancud,Región de Los Lagos,38,120
Ancud,Región de Los Lagos,39,125
Ancud,Región de Los Lagos,40,145
Ancud,Región de Los Lagos,41,161
Ancud,Región de Los Lagos,42,172
Ancud,Región de Los Lagos,43,192
Ancud,Región de Los Lagos,44,256
Ancud,Región de Los Lagos,45,342
Ancud,Región de Los Lagos,46,466
Ancud,Región de Los Lagos,47,539
Ancud,Región de Los Lagos,48,593
Ancud,Región de Los Lagos,49,641
Ancud,Región de Los Lagos,50,687
Ancud,Región de Los Lagos,51,734
Ancud,Región de Los Lagos,52,791
Andacollo,Región de Coquimbo,18,2
Andacollo,Región de Coquimbo,19,6
Andacollo,Región de Coquimbo,20,13
Andacollo,Región de Coquimbo,21,14
Andacollo,Región de Coquimbo,22,20
Andacollo,Región de Coquimbo,23,26
Andacollo,Región de Coquimbo,24,27
Andacollo,Región de Coquimbo,25,30
Andacollo,Región de Coquimbo,26,39
Andacollo,Región de Coquimbo,27,41
Andacollo,Región de Coquimbo,28,44
Andacollo,Región de Coquimbo,29,49
Andacollo,Región de Coquimbo,30,51
Andacollo,Región de Coquimbo,31,55
Andacollo,Región de Coquimbo,32,59
Andacollo,Región de Coquimbo,33,70
Andacollo,Región de Coquimbo,34,83
Andacollo,Región de Coquimbo,35,98
Andacollo,Región de Coquimbo,36,121
Andacollo,Región de Coquimbo,37,141
Andacollo,Región de Coquimbo,38,156
Andacollo,Región de Coquimbo,39,169
Andacollo,Región de Coquimbo,40,182
Andacollo,Región de Coquimbo,41,189
Andacollo,Región de Coquimbo,42,191
Andacollo,Región de Coquimbo,43,192
Andacollo,Región de Coquimbo,44,193
Andacollo,Región de Coquimbo,46,194
Andacollo,Región de Coquimbo,48,195
Andacollo,Región de Coquimbo,51,196
Angol,Región de la Araucanía,13,11
Angol,Región de la Araucanía,14,20
Angol,Región de la Araucanía,15,31
Angol,Región de la Araucanía,16,60
